UniqueID,include,Site,Region,SID,SpecID,ACE_file,NAU_ACE#,FractionModern,plus/minus,D14C(%0),plus/minus,14Cage(BP),plus/minus,14C_notes,cal age (95% CI) (cal. BP),,med_cal_age,tempID,SpecStatus,Fragmentation,Taxon1,Taxon2,PicIDtop,PickIDback,SamDepth,Long,Lat,Depth,Temp,Salinity,Year,Month,Day,WgSpec,Status,ApicPl,Petals,TubAbr1,TubAbr2,TubAbr3,SurfAbr1,SurfAbr2,SurfAbr3,PoreAbr1,PoreAbr2,PoreAbr3,Frag1,Frag2,Frag3,Frag4,Encrust,Dh,Key
81,1,CK-5,Cedar Key,CK-5-1,5,29C230111GAS,3334.1.1,0.9236,0.0084,-76.4,8.4,639,73,,423,-2,227,A5,dead,complete,m,Lucinidae,CK5-Sp81out,CK5-Sp81in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0051,Dated,,,,,,,,,,,,,,,,,,1 = true
82,1,CK-5,Cedar Key,CK-5-2,22,29C230111GAS,3335.1.1,0.8819,0.0083,-118.1,8.3,1010,,,735,388,565,B4,dead,complete,m,Lucinidae,CK5-Sp82out,CK5-Sp812in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.003,Dated,,,,,,,,,,,,,,,,,,Encrust = specimen encrustation
83,1,CK-5,Cedar Key,CK-5-2,23,29C230304GIS,3649.1.1,1.1251,0.008,126.9,8,-960,,,-14,-40,-32,B5,dead,complete,m,Lucinidae,CK5-Sp83out,CK5-Sp83in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0293,Dated,,,,,,,,,,,,,,,,,,1 = <25%
84,1,CK-5,Cedar Key,CK-5-2,24,29C230304GIS,3650.1.1,0.8732,0.0068,-126.6,6.8,1087,,,787,477,624,B6,dead,complete,m,Lucinidae,CK5-Sp84out,CK5-Sp84in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0015,Dated,,,,,,,,,,,,,,,,,,2 = 25-50%
85,1,CK-5,Cedar Key,CK-5-3,6,29C230304GIS,3651.1.1,0.8911,0.007,-108.5,7,923,63,,645,321,497,B6,dead,complete,m,Lucinidae,CK5-Sp85out,CK5-Sp85in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0082,Dated,,,,,,,,,,,,,,,,,,3 = 50-75%
86,1,CK-5,Cedar Key,CK-5-3,7,29C230111GAS,3336.1.1,1.0026,0.0089,2.6,8.9,-21,71,,-9,-66,-63,C1,dead,complete,m,Lucinidae,CK5-Sp86out,CK5-Sp86in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0239,Dated,,,,,,,,,,,,,,,,,,4 = >75%
87,1,CK-5,Cedar Key,CK-5-3,8,29C230111GAS,3337.1.1,0.8601,0.0084,-139.9,8.5,1211,79,,926,549,738,C2,dead,complete,m,Lucinidae,CK5-Sp87out,CK5-Sp87in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0065,Dated,,,,,,,,,,,,,,,,,,Dh = dril;l hole present
88,1,CK-5,Cedar Key,CK-5-3,9,29C230304GIS,3652.1.1,0.8912,0.0068,-108.5,6.8,922,62,,643,322,496,C3,dead,complete,m,Lucinidae,CK5-Sp88out,CK5-Sp88in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0019,Dated,,,,,,,,,,,,,,,,,,0 = absent
89,0,CK-5,Cedar Key,CK-5-4,6,,,,,,,,,,,,,A4,dead,complete,m,Lucinidae,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0324,Stored,,,,,,,,,,,,,,,,,,1 = present
90,0,CK-5,Cedar Key,CK-5-4,7,,,,,,,,,,,,,A5,dead,complete,m,Lucinidae,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0068,Stored,,,,,,,,,,,,,,,,,,
91_1,1,CK-5,Cedar Key,CK-5-4,8,29C230304GIS,3653.1.2,0.9068,0.0121,-92.7,12.1,782,107,only 7 ug of Carbon - age may be ok with larger error. Vial may have leaked. NAU has extra shell. Will redo.,604,118,369,A6,dead,complete,m,Lucinidae,CK5-Sp91out,CK5-Sp91in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0247,Dated,,,,,,,,,,,,,,,,,,C14
92,0,CK-5,Cedar Key,CK-5-6,41,,,,,,,,,,,,,B2,dead,complete,m,Lucinidae,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0318,Stored,,,,,,,,,,,,,,,,,,"Radiocarbon concentrations are given as fractions of the Modern standard, D14C, and conventional radiocarbon age,"
93,1,CK-5,Cedar Key,CK-5-6,42,29C230111GAS,3338.1.1,0.7925,0.008,-207.5,8,1868,81,,1626,1184,1404,B3,dead,complete,m,Lucinidae,CK5-Sp93out,CK5-Sp93in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0231,Dated,,,,,,,,,,,,,,,,,,"following the conventions of Stuiver and Polach (Radiocarbon, v. 19, p.355, 1977)."
94,1,CK-5,Cedar Key,CK-5-6,43,29C230111GAS,3339.1.1,0.9127,0.0083,-87.3,8.3,734,73,,508,119,329,B4,dead,complete,m,Lucinidae,CK5-Sp94out,CK5-Sp94in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0281,Dated,,,,,,,,,,,,,,,,,,"Sample preparation backgrounds have been subtracted, based on measurements of 14C-free calcite."
95,1,CK-5,Cedar Key,CK-5-7,6,29C230111GAS,3340.1.1,1.0174,0.0088,17.4,8.9,-139,70,,-11,-65,-62,D3,dead,complete,m,Lucinidae,CK5-Sp95out,CK5-Sp95in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0426,Dated,,,,,,,,,,,,,,,,,,"All results have been corrected for isotopic fractionation according to the conventions of Stuiver and Polach (1977),"
96,1,CK-5,Cedar Key,CK-5-7,7,29C230304GIS,3654.1.1,0.9095,0.0069,-90,6.9,758,61,,509,160,356,D4,dead,complete,m,Lucinidae,CK5-Sp96out,CK5-Sp96in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0159,Dated,,,,,,,,,,,,,,,,,,with d13C values measured on prepared graphite using the AMS spectrometer. These can differ from d13C of the original
97,1,CK-5,Cedar Key,CK-5-7,8,29C230111GAS,3341.1.1,0.7485,0.0076,-251.5,7.6,2327,82,,2206,1685,1935,D5,dead,complete,m,Lucinidae,CK5-Sp97out,CK5-Sp97in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0175,Dated,,,,,,,,,,,,,,,,,,"material, and are not shown."
98,1,CK-5,Cedar Key,CK-5-7,9,29C230111GAS,3342.1.1,0.8415,0.0083,-158.5,8.3,1387,79,,1123,693,905,D6,dead,complete,m,Lucinidae,CK5-Sp98out,CK5-Sp98in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0308,Dated,,,,,,,,,,,,,,,,,,
99,1,CK-5,Cedar Key,CK-5-6,44,29C230304GIS,3655.1.1,0.9915,0.0075,-7.5,7.5,61,60,,-9,-12,-10,A1,live,complete,m,Transenella,CK5-Sp99LV,CK5-Sp99RV,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0194,Dated,,,,,,,,,,,,,,,,,,
100,1,CK-5,Cedar Key,CK-5-6,45,29C230304GIS,3656.1.1,1.0037,0.0076,4.7,7.6,-38,61,,-9,-65,-63,A3,live,complete,m,Transenella,CK5-Sp100LV,CK5-Sp100RV,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0228,Dated,,,,,,,,,,,,,,,,,,
101,1,CK-5,Cedar Key,CK-5-3,10,29C230111GAS,3343.1.1,0.9939,0.0087,-6.1,8.8,49,71,,-9,-12,-10,A1,live,complete,m,Lucinidae,CK5-Sp101LV,CK5-Sp101RV,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0034,Dated,,,,,,,,,,,,,,,,,,
102,1,CK-5,Cedar Key,CK-5-5,1,29C230304GIS,3658.1.1,0.9995,0.0076,0.5,7.6,-4,61,,-9,-12,-11,Transect,dead,complete,e,Encope,CK5-Sp102,CK5-Sp102,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0018,Dated,,,,,,,,,,,,,,,,,,
103,1,CK-5,Cedar Key,CK-5-5,2,29C230304GIS,3659.1.1,1.0974,0.0081,99,8.1,-758,59,,-14,-49,-43,Transect,dead,fragment,e,Echinoid,CK5-Sp103,CK5-Sp103,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
104,1,CK-5,Cedar Key,CK-5-5,3,29C230304GIS,3660.1.1,1.0345,0.0075,35.7,7.5,-282,58,,-12,-63,-60,Transect,dead,fragment,e,Echinoid,CK5-Sp104,CK5-Sp104,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
105,1,CK-5,Cedar Key,CK-5-5,4,29C230304GIS,3661.1.1,0.9181,0.0071,-81.4,7.1,682,62,,467,-2,282,Transect,dead,fragment,e,Echinoid,CK5-Sp105,CK5-Sp105,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
106,1,CK-5,Cedar Key,CK-5-5,5,29C230304GIS,3662.1.1,0.9842,0.0077,-14.9,7.7,121,63,,-8,-12,-10,Transect,dead,fragment,e,Echinoid,CK5-Sp106,CK5-Sp106,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
107,1,CK-5,Cedar Key,CK-5-5,6,29C230304GIS,3663.1.1,0.8878,0.0068,-111.8,6.8,953,62,,666,350,522,Transect,dead,fragment,e,Echinoid,CK5-Sp107,CK5-Sp107,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
108,1,CK-5,Cedar Key,CK-5-5,7,29C230304GIS,3664.1.1,1.0005,0.0078,1.5,7.8,-12,63,,-9,-66,-12,Transect,dead,fragment,e,Echinoid,CK5-Sp108,CK5-Sp108,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
109,1,CK-5,Cedar Key,CK-5-5,8,29C230304GIS,3665.1.1,0.903,0.0074,-96.6,7.4,816,66,,564,219,402,Transect,dead,complete,m,Mollusk,CK5-Sp109,CK5-Sp109,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
110,1,CK-5,Cedar Key,CK-5-5,9,29C230304GIS,3666.1.1,0.8601,0.0068,-139.7,6.8,1209,64,,910,566,736,Transect,dead,complete,m,Mollusk,CK5-Sp110,CCK5-Sp110,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
111,1,CK-5,Cedar Key,CK-5-5,10,29C230304GIS,3667.1.1,0.8647,0.0072,-135.2,7.2,1166,67,,885,535,697,Transect,dead,complete,m,Mollusk,CK5-Sp111,Ck5-Sp111,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
112,1,CK-5,Cedar Key,CK-5-5,11,29C230304GIS,3668.1.1,0.9839,0.0072,-15.2,7.2,123,59,,-8,-11,-10,Transect,dead,fragment,m,Mollusk,CK5-Sp112,CK5-Sp112,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
113,1,CK-5,Cedar Key,CK-5-5,12,29C230304GIS,3669.1.1,0.7318,0.0062,-268.8,6.2,2515,68,,2367,1919,2163,Transect,dead,fragment,m,Mollusk,CK5-Sp113,CK5-Sp113,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,NA,Dated,,,,,,,,,,,,,,,,,,
114,1,CK-5,Cedar Key,CK-5-1,1,29C230629GAS,4786.1.1,0.8425,0.0093,-157.5,9.3,1377,88,,1126,675,896,Fragment,dead,fragment,m,Transenella,CK5-Sp114out,CK5-Sp114in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0042,Dated,,,,,,,,,,,,,,,,,,
115,1,CK-5,Cedar Key,CK-5-1,2,29C230629GAS,4787.1.1,0.8926,0.0097,-107.4,9.7,913,87,,659,285,483,Fragment,dead,fragment,m,Transenella,CK5-Sp115out,CK5-Sp115in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Dated,,,,,,,,,,,,,,,,,,
116,1,CK-5,Cedar Key,CK-5-1,3,29C230629GAS,4788.1.1,0.458,0.0065,-542,6.5,6273,113,,6979,6367,6667,Fragment,dead,fragment,m,Transenella,CK5-Sp116out,CK5-Sp116in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0059,Dated,,,,,,,,,,,,,,,,,,
117,0,CK-5,Cedar Key,CK-5-1,4,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp117out,CK5-Sp117in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0017,Stored,,,,,,,,,,,,,,,,,,
118,1,CK-5,Cedar Key,CK-5-1,5,29C230629GAS,4789.1.1,0.8832,0.009,-116.8,9,998,82,,731,359,556,Fragment,dead,fragment,m,Lucinidae,CK5-Sp118out,CK5-Sp118in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0055,Dated,,,,,,,,,,,,,,,,,,
119,1,CK-5,Cedar Key,CK-5-1,6,29C230629GAS,4790.1.1,0.8674,0.009,-132.6,9,1143,84,,886,504,676,Fragment,dead,fragment,m,Lucinidae,CK5-Sp119out,CK5-Sp119in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0066,Dated,,,,,,,,,,,,,,,,,,
120,1,CK-5,Cedar Key,CK-5-1,7,29C230629GAS,4791.1.1,0.87,0.0089,-130,8.9,1119,82,,865,485,653,Fragment,dead,fragment,m,Lucinidae,CK5-Sp120out,CK5-Sp120in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0049,Dated,,,,,,,,,,,,,,,,,,
121,0,CK-5,Cedar Key,CK-5-1,8,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp121out,CK5-Sp121in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0121,Stored,,,,,,,,,,,,,,,,,,
122,1,CK-5,Cedar Key,CK-5-1,9,29C230629GAS,4792.1.1,0.8991,0.0091,-100.9,9.1,854,82,,625,250,431,Fragment,dead,fragment,e,Echinoid,CK5-Sp122s1,CK5-Sp122s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0081,Dated,,,,,,,,,,,,,,,,,,
123,1,CK-5,Cedar Key,CK-5-1,10,29C230629GAS,4793.1.1,0.6293,0.0074,-370.7,7.4,3721,95,,3928,3368,3644,Fragment,dead,fragment,e,Echinoid,CK5-Sp123s1,CK5-Sp123s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0341,Dated,,,,,,,,,,,,,,,,,,
124,1,CK-5,Cedar Key,CK-5-1,11,29C230629GAS,4794.1.1,0.6244,0.0075,-375.6,7.5,3783,97,,4027,3436,3723,Fragment,dead,fragment,e,Echinoid,CK5-Sp124s1,CK5-Sp124s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0294,Dated,,,,,,,,,,,,,,,,,,
125,1,CK-5,Cedar Key,CK-5-1,12,29C230629GAS,4795.1.1,0.7145,0.0083,-285.5,8.3,2700,93,,2698,2138,2414,Fragment,dead,fragment,e,Echinoid,CK5-Sp125s1,CK5-Sp125s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0438,Dated,,,,,,,,,,,,,,,,,,
126,1,CK-5,Cedar Key,CK-5-1,13,29C230629GAS,4796.1.1,0.6844,0.0079,-315.6,7.9,3047,93,,3119,2552,2828,Fragment,dead,fragment,e,Echinoid,CK5-Sp126s1,CK5-Sp126s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0425,Dated,,,,,,,,,,,,,,,,,,
127,0,CK-5,Cedar Key,CK-5-1,14,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp127s1,CK5-Sp127s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0178,Stored,,,,,,,,,,,,,,,,,,
128,0,CK-5,Cedar Key,CK-5-1,15,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp128s1,CK5-Sp128s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0168,Stored,,,,,,,,,,,,,,,,,,
129,0,CK-5,Cedar Key,CK-5-1,16,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp129s1,CK5-Sp129s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0199,Stored,,,,,,,,,,,,,,,,,,
130,0,CK-5,Cedar Key,CK-5-1,17,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp130s1,CK5-Sp130s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0097,Stored,,,,,,,,,,,,,,,,,,
131,0,CK-5,Cedar Key,CK-5-1,18,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp131s1,CK5-Sp131s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0068,Stored,,,,,,,,,,,,,,,,,,
132,0,CK-5,Cedar Key,CK-5-2,1,29C230629GAS,4797.1.1,1.1876,0.0111,187.6,11.1,-1381,75,,out of the range of the bomb curve ,,,Fragment,dead,fragment,m,Transenella,CK5-Sp132out,CK5-Sp132in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0042,Dated,,,,,,,,,,,,,,,,,,
133,1,CK-5,Cedar Key,CK-5-2,2,29C230629GAS,4798.1.1,0.9033,0.0094,-96.7,9.4,817,84,,600,190,398,Fragment,dead,fragment,m,Transenella,CK5-Sp133out,CK5-Sp133in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0382,Dated,,,,,,,,,,,,,,,,,,
134,1,CK-5,Cedar Key,CK-5-2,3,29C230629GAS,4799.1.1,0.8171,0.0089,-182.9,8.9,1623,88,,1353,924,1149,Fragment,dead,fragment,m,Transenella,CK5-Sp134out,CK5-Sp134in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0097,Dated,,,,,,,,,,,,,,,,,,
135,1,CK-5,Cedar Key,CK-5-2,4,29C230629GAS,4800.1.1,0.7867,0.0088,-213.3,8.8,1927,90,,1712,1251,1465,Fragment,dead,fragment,m,Transenella,CK5-Sp135out,CK5-Sp135in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0151,Dated,,,,,,,,,,,,,,,,,,
136,1,CK-5,Cedar Key,CK-5-2,5,29C230629GAS,4801.1.1,0.7307,0.0084,-269.3,8.4,2520,92,,2459,1891,2176,Fragment,dead,fragment,m,Transenella,CK5-Sp136out,CK5-Sp136in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0186,Dated,,,,,,,,,,,,,,,,,,
137,0,CK-5,Cedar Key,CK-5-2,6,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp137out,CK5-Sp137in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0205,Stored,,,,,,,,,,,,,,,,,,
138,0,CK-5,Cedar Key,CK-5-2,7,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp138out,CK5-Sp138in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0448,Stored,,,,,,,,,,,,,,,,,,
139,0,CK-5,Cedar Key,CK-5-2,8,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp139out,CK5-Sp139in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0041,Stored,,,,,,,,,,,,,,,,,,
140,0,CK-5,Cedar Key,CK-5-2,9,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp140out,CK5-Sp140in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0082,Stored,,,,,,,,,,,,,,,,,,
141,0,CK-5,Cedar Key,CK-5-2,10,,,,,,,,,,,,,Fragment,dead,fragment,m,Transenella,CK5-Sp141out,CK5-Sp141in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0076,Stored,,,,,,,,,,,,,,,,,,
142,1,CK-5,Cedar Key,CK-5-2,11,29C230629GAS,4802.1.1,0.8787,0.0093,-121.3,9.3,1039,85,,784,407,587,Fragment,dead,fragment,m,Lucinidae,CK5-Sp142out,CK5-Sp142in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0357,Dated,,,,,,,,,,,,,,,,,,
143,1,CK-5,Cedar Key,CK-5-2,12,29C230629GAS,4803.1.1,0.9108,0.0095,-89.2,9.5,750,84,,529,117,342,Fragment,dead,fragment,m,Lucinidae,CK5-Sp143out,CK5-Sp143in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0059,Dated,,,,,,,,,,,,,,,,,,
144,1,CK-5,Cedar Key,CK-5-2,13,29C230629GAS,4804.1.1,0.858,0.0092,-142,9.2,1230,86,,956,552,757,Fragment,dead,fragment,m,Lucinidae,CK5-Sp144out,CK5-Sp144in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0161,Dated,,,,,,,,,,,,,,,,,,
145,1,CK-5,Cedar Key,CK-5-2,14,29C230629GAS,4805.1.1,0.8479,0.0093,-152.1,9.3,1326,88,,1069,640,844,Fragment,dead,fragment,m,Lucinidae,CK5-Sp145out,CK5-Sp145in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0039,Dated,,,,,,,,,,,,,,,,,,
146,1,CK-5,Cedar Key,CK-5-2,15,29C230629GAS,4806.1.1,0.4661,0.0067,-533.9,6.7,6132,116,,6817,6230,6511,Fragment,dead,fragment,m,Lucinidae,CK5-Sp146out,CK5-Sp146in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0081,Dated,,,,,,,,,,,,,,,,,,
147,0,CK-5,Cedar Key,CK-5-2,16,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp147out,CK5-Sp147in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0164,Stored,,,,,,,,,,,,,,,,,,
148,0,CK-5,Cedar Key,CK-5-2,17,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp148out,CK5-Sp148in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0038,Stored,,,,,,,,,,,,,,,,,,
149,0,CK-5,Cedar Key,CK-5-2,18,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp149out,CK5-Sp149in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0021,Stored,,,,,,,,,,,,,,,,,,
150,0,CK-5,Cedar Key,CK-5-2,19,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp150out,CK5-Sp150in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0041,Stored,,,,,,,,,,,,,,,,,,
151,0,CK-5,Cedar Key,CK-5-2,20,,,,,,,,,,,,,Fragment,dead,fragment,m,Lucinidae,CK5-Sp151out,CK5-Sp151in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0031,Stored,,,,,,,,,,,,,,,,,,
152,1,CK-5,Cedar Key,CK-5-2,21,29C230629GAS,4807.1.1,0.99,0.01,-10,10,81,81,,-8,-12,-10,Fragment,dead,fragment,e,Echinoid,CK5-Sp152s1,CK5-Sp152s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0457,Dated,,,,,,,,,,,,,,,,,,
153,1,CK-5,Cedar Key,CK-5-2,22,29C230629GAS,4808.1.1,0.5278,0.0071,-472.2,7.1,5134,108,,5723,5131,5437,Fragment,dead,fragment,e,Echinoid,CK5-Sp153s1,CK5-Sp153s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0433,Dated,,,,,,,,,,,,,,,,,,
154,1,CK-5,Cedar Key,CK-5-2,23,29C230629GAS,4809.1.1,0.7526,0.0087,-247.4,8.7,2283,93,,2159,1600,1882,Fragment,dead,fragment,e,Echinoid,CK5-Sp154s1,CK5-Sp154s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0407,Dated,,,,,,,,,,,,,,,,,,
155,1,CK-5,Cedar Key,CK-5-2,24,29C230629GAS,4810.1.1,0.6951,0.0082,-304.9,8.2,2922,95,,2931,2367,2669,Fragment,dead,fragment,e,Echinoid,CK5-Sp155s1,CK5-Sp155s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0595,Dated,,,,,,,,,,,,,,,,,,
156,1,CK-5,Cedar Key,CK-5-2,25,29C230629GAS,4811.1.1,0.7853,0.0089,-214.7,8.9,1941,91,,1728,1261,1480,Fragment,dead,fragment,e,Echinoid,CK5-Sp156s1,CK5-Sp156s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0679,Dated,,,,,,,,,,,,,,,,,,
157,0,CK-5,Cedar Key,CK-5-2,26,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp157s1,CK5-Sp157s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0156,Stored,,,,,,,,,,,,,,,,,,
158,0,CK-5,Cedar Key,CK-5-2,27,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp158s1,CK5-Sp158s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0219,Stored,,,,,,,,,,,,,,,,,,
159,0,CK-5,Cedar Key,CK-5-2,28,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp159s1,CK5-Sp159s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0143,Stored,,,,,,,,,,,,,,,,,,
160,0,CK-5,Cedar Key,CK-5-2,29,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp160s1,CK5-Sp160s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0068,Stored,,,,,,,,,,,,,,,,,,
161,0,CK-5,Cedar Key,CK-5-2,30,,,,,,,,,,,,,Fragment,dead,fragment,e,Echinoid,CK5-Sp161s1,CK5-Sp161s2,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0117,Stored,,,,,,,,,,,,,,,,,,
162,1,CK-5,Cedar Key,CK-5-3,1,29C230629GAS,4812.1.1,0.6635,0.008,-336.5,8,3295,97,,3395,2837,3123,Fragment,dead,fragment,m,Transenella,CK5-Sp162out,CK5-Sp162in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0072,Dated,,,,,,,,,,,,,,,,,,
163,1,CK-5,Cedar Key,CK-5-3,2,29C230629GAS,4813.1.1,1.1144,0.0112,114.4,11.2,-870,81,,-14,-45,-35,Fragment,dead,fragment,m,Transenella,CK5-Sp163out,CK5-Sp163in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0041,Dated,,,,,,,,,,,,,,,,,,
164,1,CK-5,Cedar Key,CK-5-3,3,29C230629GAS,4814.1.1,0.8901,0.0096,-109.9,9.6,936,87,,672,299,503,Fragment,dead,fragment,m,Transenella,CK5-Sp164out,CK5-Sp164in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0043,Dated,,,,,,,,,,,,,,,,,,
165,1,CK-5,Cedar Key,CK-5-3,4,29C230629GAS,4815.1.1,0.8119,0.009,-188.1,9,1674,89,,1412,956,1200,Fragment,dead,fragment,m,Transenella,CK5-Sp165out,CK5-Sp165in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Dated,,,,,,,,,,,,,,,,,,
